iter	Passed	Remaining
0	6	6588
1	11	5772
2	16	5505
3	21	5236
4	24	4859
5	27	4581
6	30	4355
7	34	4300
8	37	4153
9	40	4015
10	43	3904
11	46	3810
12	50	3802
13	53	3736
14	55	3672
15	58	3614
16	61	3563
17	65	3579
18	68	3531
19	71	3488
20	74	3450
21	77	3430
22	80	3438
23	83	3412
24	86	3375
25	89	3347
26	93	3358
27	96	3352
28	99	3341
29	102	3325
30	106	3316
31	110	3342
32	113	3335
33	116	3321
34	120	3310
35	124	3328
36	127	3331
37	131	3323
38	134	3311
39	138	3321
40	142	3325
41	145	3314
42	148	3303
43	151	3293
44	156	3320
45	159	3309
46	162	3294
47	165	3280
48	169	3289
49	172	3281
50	175	3267
51	202	3700
52	209	3738
53	214	3749
54	218	3749
55	221	3741
56	241	3990
57	244	3964
58	247	3948
59	250	3928
60	253	3900
61	256	3876
62	259	3854
63	262	3843
64	266	3826
65	268	3806
66	271	3784
67	274	3766
68	278	3758
69	281	3741
70	284	3720
71	287	3700
72	290	3689
73	294	3682
74	297	3668
75	300	3654
76	303	3639
77	307	3635
78	311	3630
79	314	3611
80	316	3595
81	319	3579
82	323	3577
83	328	3578
84	331	3563
85	333	3548
86	337	3545
87	341	3539
88	344	3525
89	347	3510
90	350	3498
91	353	3491
92	357	3483
93	359	3468
94	362	3453
95	366	3448
96	370	3444
97	372	3431
98	375	3418
99	378	3405
100	382	3402
101	385	3394
102	388	3383
103	391	3372
104	394	3361
105	398	3361
106	401	3351
107	404	3340
108	407	3330
109	411	3329
110	414	3323
111	417	3313
112	420	3303
113	423	3294
114	427	3292
115	431	3287
116	434	3276
117	436	3265
118	440	3258
119	443	3253
120	446	3243
121	449	3233
122	452	3223
123	455	3219
124	459	3215
125	462	3206
126	465	3199
127	468	3189
128	472	3186
129	475	3181
130	478	3171
131	480	3162
132	483	3154
133	487	3152
134	490	3145
135	493	3137
136	496	3129
137	499	3122
138	503	3119
139	506	3114
140	509	3105
141	512	3097
142	516	3093
143	519	3090
144	522	3082
145	525	3074
146	528	3066
147	532	3063
148	536	3061
149	538	3053
150	541	3046
151	544	3039
152	548	3037
153	551	3030
154	554	3023
155	557	3015
156	561	3015
157	565	3013
158	568	3005
159	571	2998
160	574	2992
161	578	2990
162	581	2984
163	583	2976
164	587	2970
165	590	2968
166	594	2967
167	597	2960
168	600	2954
169	603	2946
170	607	2946
171	610	2940
172	613	2934
173	616	2927
174	620	2925
175	624	2923
176	627	2916
177	630	2909
178	632	2902
179	636	2899
180	639	2895
181	642	2888
182	645	2881
183	648	2877
184	652	2875
185	656	2870
186	658	2864
187	661	2858
188	664	2852
189	668	2851
190	671	2845
191	674	2839
192	677	2833
193	681	2830
194	684	2826
195	687	2821
196	690	2815
197	693	2810
198	697	2807
199	700	2802
200	704	2798
201	707	2794
202	710	2790
203	714	2787
204	717	2781
205	720	2775
206	723	2770
207	727	2769
208	730	2766
209	733	2760
210	736	2754
211	739	2749
212	743	2747
213	746	2742
214	749	2737
215	752	2731
216	756	2728
217	760	2727
218	763	2722
219	766	2716
220	769	2710
221	773	2711
222	777	2708
223	780	2702
224	782	2696
225	786	2695
226	790	2693
227	793	2687
228	796	2681
229	799	2677
230	804	2677
231	807	2674
232	811	2670
233	814	2667
234	819	2667
235	822	2663
236	825	2659
237	828	2654
238	832	2651
239	836	2649
240	839	2644
241	843	2641
242	847	2641
243	851	2639
244	855	2634
245	859	2634
246	863	2631
247	866	2628
248	869	2622
249	872	2618
250	876	2614
251	879	2611
252	882	2606
253	885	2602
254	888	2596
255	892	2593
256	895	2590
257	898	2584
258	901	2579
259	904	2574
260	908	2571
261	911	2567
262	914	2562
263	917	2557
264	921	2554
265	924	2551
266	927	2547
267	930	2542
268	933	2537
269	937	2534
270	940	2531
271	943	2525
272	946	2520
273	949	2515
274	953	2512
275	956	2509
276	959	2504
277	962	2499
278	965	2494
279	969	2491
280	972	2487
281	974	2482
282	977	2477
283	981	2474
284	985	2471
285	988	2466
286	991	2462
287	994	2458
288	998	2456
289	1001	2452
290	1004	2447
291	1007	2442
292	1010	2439
293	1014	2436
294	1017	2431
295	1020	2426
296	1023	2422
297	1026	2419
298	1030	2415
299	1033	2411
300	1036	2406
301	1039	2401
302	1042	2399
303	1046	2395
304	1049	2390
305	1052	2386
306	1055	2381
307	1058	2378
308	1062	2375
309	1065	2371
310	1068	2366
311	1071	2363
312	1075	2360
313	1078	2356
314	1081	2352
315	1084	2348
316	1088	2345
317	1092	2342
318	1094	2337
319	1097	2332
320	1101	2328
321	1104	2325
322	1108	2322
323	1111	2318
324	1114	2313
325	1117	2311
326	1121	2308
327	1124	2304
328	1127	2299
329	1131	2297
330	1135	2294
331	1138	2290
332	1140	2285
333	1143	2280
334	1147	2278
335	1151	2274
336	1153	2270
337	1156	2265
338	1159	2261
339	1163	2258
340	1166	2255
341	1169	2250
342	1172	2246
343	1176	2244
344	1180	2240
345	1182	2236
346	1185	2231
347	1188	2227
348	1192	2224
349	1196	2221
350	1199	2216
351	1202	2212
352	1205	2209
353	1209	2206
354	1212	2202
355	1215	2198
356	1218	2194
357	1222	2191
358	1226	2189
359	1229	2185
360	1232	2181
361	1235	2177
362	1239	2174
363	1242	2170
364	1245	2166
365	1248	2162
366	1252	2159
367	1255	2156
368	1258	2152
369	1261	2148
370	1264	2144
371	1268	2141
372	1271	2137
373	1274	2133
374	1277	2129
375	1281	2127
376	1285	2123
377	1288	2119
378	1290	2115
379	1293	2111
380	1297	2108
381	1301	2104
382	1303	2100
383	1306	2096
384	1310	2092
385	1314	2090
386	1317	2086
387	1320	2082
388	1322	2077
389	1327	2076
390	1331	2073
391	1334	2069
392	1337	2065
393	1341	2062
394	1344	2059
395	1347	2055
396	1350	2051
397	1353	2047
398	1357	2044
399	1360	2040
400	1363	2036
401	1365	2031
402	1368	2028
403	1372	2025
404	1376	2021
405	1379	2017
406	1382	2013
407	1385	2010
408	1389	2007
409	1392	2003
410	1395	2000
411	1398	1996
412	1402	1993
413	1406	1990
414	1408	1986
415	1411	1982
416	1415	1978
417	1419	1975
418	1421	1971
419	1424	1967
420	1427	1963
421	1431	1960
422	1435	1957
423	1438	1953
424	1441	1949
425	1444	1946
426	1447	1943
427	1451	1939
428	1454	1935
429	1457	1931
430	1460	1928
431	1464	1925
432	1467	1921
433	1470	1917
434	1473	1913
435	1477	1910
436	1480	1907
437	1483	1903
438	1486	1900
439	1489	1896
440	1493	1893
441	1497	1889
442	1500	1886
443	1503	1882
444	1507	1879
445	1510	1876
446	1513	1872
447	1516	1868
448	1519	1864
449	1523	1862
450	1527	1858
451	1530	1855
452	1533	1851
453	1537	1848
454	1540	1845
455	1543	1841
456	1546	1837
457	1549	1834
458	1553	1831
459	1556	1827
460	1559	1823
461	1562	1820
462	1566	1816
463	1570	1813
464	1573	1810
465	1576	1806
466	1579	1802
467	1583	1799
468	1586	1796
469	1589	1792
470	1592	1789
471	1596	1785
472	1600	1782
473	1603	1779
474	1606	1775
475	1609	1771
476	1613	1769
477	1617	1765
478	1620	1762
479	1623	1758
480	1626	1754
481	1630	1751
482	1633	1748
483	1636	1744
484	1639	1740
485	1642	1737
486	1646	1734
487	1649	1730
488	1651	1726
489	1654	1722
490	1658	1719
491	1695	1750
492	1699	1747
493	1702	1743
494	1710	1744
495	1714	1742
496	1718	1739
497	1723	1737
498	1726	1733
499	1729	1729
500	1732	1725
501	1735	1721
502	1738	1718
503	1742	1714
504	1745	1710
505	1748	1706
506	1751	1703
507	1755	1700
508	1758	1696
509	1761	1692
510	1764	1688
511	1768	1685
512	1771	1681
513	1774	1678
514	1777	1674
515	1780	1670
516	1784	1667
517	1787	1663
518	1790	1659
519	1793	1655
520	1797	1652
521	1801	1649
522	1804	1645
523	1807	1641
524	1810	1637
525	1813	1634
526	1817	1631
527	1820	1627
528	1823	1623
529	1826	1619
530	1830	1616
531	1833	1612
532	1836	1609
533	1839	1605
534	1842	1601
535	1846	1598
536	1849	1594
537	1852	1590
538	1855	1586
539	1858	1583
540	1862	1579
541	1865	1576
542	1868	1572
543	1871	1568
544	1875	1565
545	1878	1561
546	1881	1558
547	1884	1554
548	1887	1550
549	1891	1547
550	1894	1543
551	1897	1540
552	1900	1536
553	1903	1532
554	1907	1529
555	1910	1525
556	1913	1521
557	1916	1518
558	1919	1514
559	1923	1511
560	1926	1507
561	1929	1503
562	1932	1500
563	1936	1496
564	1939	1493
565	1942	1489
566	1945	1485
567	1949	1482
568	1952	1479
569	1955	1475
570	1958	1471
571	1961	1467
572	1964	1464
573	1968	1460
574	1971	1457
575	1974	1453
576	1977	1449
577	1981	1446
578	1985	1443
579	1988	1440
580	1992	1436
581	1996	1433
582	2000	1431
583	2004	1427
584	2007	1424
585	2011	1420
586	2014	1417
587	2018	1414
588	2021	1410
589	2025	1407
590	2029	1404
591	2032	1400
592	2035	1397
593	2040	1394
594	2044	1391
595	2047	1388
596	2050	1384
597	2053	1380
598	2057	1377
599	2060	1373
600	2063	1370
601	2066	1366
602	2069	1362
603	2073	1359
604	2076	1355
605	2079	1352
606	2082	1348
607	2086	1345
608	2089	1341
609	2092	1338
610	2095	1334
611	2098	1330
612	2102	1327
613	2105	1323
614	2108	1320
615	2111	1316
616	2114	1312
617	2118	1309
618	2121	1305
619	2126	1303
620	2128	1299
621	2132	1295
622	2136	1292
623	2139	1288
624	2142	1285
625	2145	1281
626	2148	1278
627	2152	1275
628	2155	1271
629	2158	1267
630	2161	1264
631	2164	1260
632	2168	1257
633	2171	1253
634	2174	1249
635	2177	1246
636	2181	1242
637	2183	1239
638	2186	1235
639	2189	1231
640	2193	1228
641	2197	1225
642	2200	1221
643	2203	1217
644	2206	1214
645	2210	1211
646	2213	1207
647	2216	1203
648	2219	1200
649	2222	1196
650	2226	1193
651	2229	1189
652	2232	1186
653	2235	1182
654	2238	1179
655	2242	1175
656	2245	1172
657	2248	1168
658	2252	1165
659	2256	1162
660	2259	1158
661	2262	1154
662	2264	1151
663	2268	1147
664	2271	1144
665	2274	1140
666	2277	1137
667	2280	1133
668	2283	1130
669	2287	1126
670	2290	1122
671	2293	1119
672	2296	1115
673	2300	1112
674	2303	1109
675	2306	1105
676	2309	1101
677	2312	1098
678	2315	1094
679	2319	1091
680	2322	1087
681	2324	1084
682	2328	1080
683	2332	1077
684	2335	1073
685	2338	1070
686	2341	1066
687	2345	1063
688	2349	1060
689	2352	1056
690	2355	1053
691	2358	1049
692	2362	1046
693	2365	1043
694	2368	1039
695	2371	1035
696	2375	1032
697	2379	1029
698	2381	1025
699	2384	1022
700	2388	1018
701	2391	1015
702	2394	1011
703	2397	1008
704	2400	1004
705	2404	1001
706	2407	997
707	2411	994
708	2413	990
709	2417	987
710	2420	984
711	2424	980
712	2427	977
713	2430	973
714	2433	969
715	2436	966
716	2440	963
717	2443	959
718	2446	955
719	2449	952
720	2453	949
721	2456	945
722	2459	942
723	2462	938
724	2465	935
725	2469	931
726	2472	928
727	2475	924
728	2478	921
729	2482	918
730	2485	914
731	2488	911
732	2491	907
733	2495	904
734	2499	901
735	2502	897
736	2505	893
737	2508	890
738	2511	887
739	2515	883
740	2518	880
741	2521	876
742	2524	873
743	2527	869
744	2531	866
745	2534	862
746	2537	859
747	2541	856
748	2545	852
749	2548	849
750	2551	845
751	2554	842
752	2558	839
753	2561	835
754	2564	832
755	2567	828
756	2573	826
757	2577	822
758	2581	819
759	2584	816
760	2588	812
761	2591	809
762	2594	806
763	2597	802
764	2601	799
765	2604	795
766	2608	792
767	2611	788
768	2614	785
769	2618	782
770	2621	778
771	2624	775
772	2627	771
773	2631	768
774	2634	764
775	2637	761
776	2640	757
777	2643	754
778	2646	750
779	2650	747
780	2653	744
781	2656	740
782	2659	736
783	2662	733
784	2666	730
785	2669	726
786	2672	723
787	2675	719
788	2678	716
789	2682	713
790	2685	709
791	2689	706
792	2692	702
793	2695	699
794	2699	696
795	2702	692
796	2705	689
797	2709	685
798	2712	682
799	2715	678
800	2718	675
801	2722	672
802	2726	668
803	2729	665
804	2732	661
805	2735	658
806	2739	655
