iter	RMSE
0	76127.75127
1	74692.11919
2	73327.71044
3	71858.05609
4	70491.25527
5	69181.15167
6	67978.48005
7	66816.57324
8	65544.02186
9	64280.66966
10	63183.85444
11	62198.00771
12	61067.15869
13	60109.78245
14	59254.13755
15	58244.7743
16	57290.25269
17	56377.28907
18	55598.44974
19	54716.09122
20	53982.24291
21	53159.58796
22	52492.74873
23	51718.21416
24	51116.18688
25	50446.3856
26	49798.76721
27	49126.29962
28	48461.25103
29	47911.65887
30	47268.75825
31	46695.84985
32	46079.53944
33	45503.92233
34	44976.76162
35	44459.72763
36	43917.99708
37	43433.43239
38	42893.1409
39	42474.34868
40	41970.94168
41	41483.31193
42	41032.65932
43	40633.9674
44	40204.49219
45	39865.85015
46	39524.81302
47	39119.54708
48	38709.10382
49	38355.0665
50	38008.42643
51	37663.52449
52	37349.72774
53	36996.42439
54	36671.01093
55	36349.22327
56	36068.27775
57	35738.53985
58	35409.92115
59	35033.48959
60	34764.48302
61	34489.61771
62	34125.2494
63	33850.45614
64	33634.13213
65	33297.70006
66	33073.85952
67	32871.61838
68	32565.57592
69	32330.76526
70	32177.55745
71	31960.19654
72	31734.36116
73	31545.56647
74	31355.14932
75	31152.2171
76	30902.87544
77	30639.23844
78	30423.22934
79	30254.88376
80	30054.04594
81	29774.34403
82	29634.70558
83	29447.38823
84	29254.06132
85	29095.32071
86	28958.8698
87	28813.33366
88	28705.81485
89	28526.67387
90	28317.63863
91	28140.19697
92	28001.16487
93	27838.51448
94	27649.70482
95	27517.82073
96	27387.64419
97	27245.08306
98	27097.45111
99	26984.71086
100	26843.25071
101	26688.96623
102	26548.16058
103	26387.58059
104	26259.29351
105	26149.68877
106	26021.69932
107	25908.43429
108	25818.36304
109	25714.12649
110	25620.21605
111	25527.79099
112	25418.19169
113	25288.42077
114	25134.35719
115	24971.07316
116	24851.81987
117	24728.13852
118	24642.358
119	24567.07753
120	24458.90928
121	24342.15171
122	24253.88735
123	24118.47293
124	24026.54
125	23967.75044
126	23885.55492
127	23793.45963
128	23722.19353
129	23668.7672
130	23569.39338
131	23455.44445
132	23359.47248
133	23303.36047
134	23241.7968
135	23121.72465
136	23065.24224
137	22987.53668
138	22926.62747
139	22823.68774
140	22736.95552
141	22670.10724
142	22613.7586
143	22530.78105
144	22487.5475
145	22400.87772
146	22357.41293
147	22304.29859
148	22252.54176
149	22164.20276
150	22102.56374
151	22038.77451
152	21978.30348
153	21910.30488
154	21838.55553
155	21800.66247
156	21727.64304
157	21640.85626
158	21586.9834
159	21530.26162
160	21449.12376
161	21386.11562
162	21308.90956
163	21226.84335
164	21177.78466
165	21109.80027
166	21053.51043
167	20993.43624
168	20954.35743
169	20892.60829
170	20837.69966
171	20770.14644
172	20728.1779
173	20687.93458
174	20635.2579
175	20565.44016
176	20530.763
177	20497.27328
178	20448.1806
179	20416.05217
180	20387.59215
181	20354.02046
182	20307.88925
183	20265.28133
184	20216.5901
185	20150.54816
186	20111.39846
187	20075.64047
188	20004.81684
189	19955.96663
190	19906.95285
191	19851.36078
192	19821.82483
193	19780.21527
194	19750.50981
195	19709.4003
196	19672.48023
197	19640.72566
198	19586.00132
199	19541.3368
200	19492.46909
201	19459.99923
202	19420.54279
203	19393.94373
204	19353.52185
205	19307.87496
206	19271.53121
207	19237.91598
208	19182.54425
209	19136.15282
