iter	Passed	Remaining
0	3	3804
1	7	3750
2	10	3606
3	14	3591
4	18	3708
5	22	3711
6	25	3658
7	29	3618
8	34	3810
9	40	4050
10	46	4153
11	50	4149
12	54	4109
13	57	4061
14	61	4016
15	64	3996
16	68	3983
17	72	3974
18	84	4371
19	91	4493
20	102	4787
21	110	4923
22	118	5024
23	122	4966
24	130	5092
25	139	5212
26	143	5157
27	147	5129
28	152	5113
29	155	5029
30	158	4951
31	161	4873
32	164	4817
33	167	4754
34	170	4691
35	172	4629
36	175	4573
37	178	4527
38	182	4495
39	185	4453
40	188	4399
41	190	4348
42	193	4310
43	196	4275
44	199	4235
45	202	4200
46	205	4163
47	207	4125
48	211	4106
49	215	4096
50	218	4067
51	221	4037
52	224	4008
53	227	3992
54	230	3964
55	233	3939
56	236	3918
57	239	3890
58	242	3870
59	245	3850
60	249	3836
61	252	3827
62	258	3845
63	263	3860
64	268	3867
65	274	3881
66	306	4268
67	313	4295
68	318	4301
69	326	4342
70	333	4357
71	336	4342
72	343	4357
73	349	4370
74	356	4397
75	365	4441
76	367	4410
77	370	4384
78	374	4360
79	376	4331
80	379	4301
81	381	4272
82	384	4245
83	387	4224
84	390	4201
85	392	4175
86	395	4150
87	398	4129
88	401	4108
89	404	4091
90	407	4068
91	409	4045
92	412	4023
93	415	4002
94	418	3984
95	421	3967
96	424	3949
97	426	3929
98	429	3911
99	432	3892
100	435	3877
101	438	3863
102	441	3845
103	444	3826
104	447	3811
105	450	3797
106	453	3784
107	456	3767
108	459	3754
109	462	3739
110	464	3724
111	468	3714
112	471	3704
113	475	3693
114	478	3679
115	481	3669
116	484	3658
117	516	3861
118	522	3867
119	525	3853
120	528	3839
121	533	3841
122	538	3840
123	542	3833
124	546	3828
125	550	3817
126	553	3802
127	555	3786
128	558	3772
129	561	3759
130	564	3745
131	567	3731
132	570	3715
133	572	3701
134	575	3689
135	578	3675
136	581	3660
137	583	3646
138	586	3632
139	589	3619
140	592	3610
141	595	3598
142	598	3585
143	601	3573
144	604	3563
145	607	3555
146	610	3543
147	613	3531
148	616	3519
149	619	3508
150	622	3499
151	625	3490
152	628	3479
153	631	3469
154	634	3459
155	637	3449
156	640	3441
157	643	3431
158	646	3420
159	650	3417
160	657	3425
161	662	3425
162	667	3425
163	673	3433
164	689	3490
165	697	3502
166	706	3526
167	714	3538
168	721	3548
169	729	3563
170	734	3559
171	739	3558
172	743	3553
173	747	3546
174	752	3546
175	755	3537
176	758	3526
177	761	3515
178	764	3504
179	767	3495
180	770	3485
181	773	3474
182	775	3463
183	778	3452
184	781	3441
185	784	3432
186	787	3423
187	790	3413
188	793	3404
189	796	3394
190	800	3389
191	803	3380
192	806	3370
193	808	3360
194	811	3351
195	815	3344
196	818	3335
197	821	3326
198	823	3315
199	826	3305
200	829	3296
201	832	3288
202	835	3280
203	838	3272
204	841	3263
205	844	3255
206	848	3251
207	852	3244
208	855	3237
209	858	3230
210	861	3223
211	865	3216
212	868	3209
213	871	3201
214	874	3192
215	877	3186
216	881	3180
217	904	3245
218	914	3262
219	919	3259
220	922	3252
221	926	3245
222	940	3276
223	945	3274
224	949	3268
225	952	3262
226	955	3253
227	958	3244
228	961	3237
229	964	3229
230	968	3222
231	971	3215
232	974	3208
233	977	3201
234	980	3192
235	983	3183
236	986	3175
237	989	3168
238	993	3162
239	995	3153
240	998	3145
241	1001	3136
242	1004	3128
243	1008	3123
244	1011	3116
245	1014	3110
246	1018	3106
247	1023	3103
248	1027	3099
249	1031	3095
250	1034	3087
251	1037	3080
252	1040	3073
253	1044	3066
254	1047	3059
255	1049	3050
256	1052	3042
257	1055	3036
258	1058	3029
259	1062	3022
260	1066	3019
261	1072	3020
262	1076	3016
263	1081	3015
264	1088	3019
265	1129	3115
266	1134	3113
267	1144	3126
268	1148	3121
269	1156	3125
270	1160	3123
271	1166	3121
272	1170	3118
273	1174	3111
274	1177	3103
275	1180	3096
276	1183	3088
277	1186	3082
278	1190	3075
279	1193	3068
280	1196	3060
281	1199	3053
282	1202	3047
283	1205	3040
284	1208	3032
285	1211	3025
286	1214	3018
287	1218	3012
288	1221	3004
289	1223	2996
290	1226	2988
291	1229	2981
292	1232	2974
293	1235	2967
294	1239	2961
295	1242	2954
296	1244	2946
297	1248	2940
298	1251	2933
299	1253	2925
300	1256	2918
301	1259	2911
302	1262	2905
303	1266	2899
304	1269	2893
305	1272	2886
306	1275	2880
307	1279	2874
308	1282	2868
309	1286	2862
310	1291	2861
311	1299	2865
312	1306	2867
313	1314	2872
314	1322	2875
315	1334	2889
316	1338	2884
317	1341	2877
318	1345	2873
319	1349	2866
320	1353	2862
321	1357	2857
322	1361	2853
323	1364	2847
324	1367	2841
325	1370	2833
326	1373	2826
327	1377	2821
328	1380	2814
329	1382	2807
330	1386	2801
331	1389	2794
332	1392	2788
333	1405	2802
334	1409	2797
335	1412	2790
336	1414	2783
337	1417	2776
338	1420	2769
339	1423	2762
340	1426	2756
341	1430	2751
342	1434	2748
343	1439	2744
344	1445	2743
345	1449	2739
346	1454	2737
347	1460	2736
348	1464	2731
349	1471	2732
350	1480	2737
351	1487	2739
352	1495	2740
353	1501	2740
354	1509	2742
355	1514	2740
356	1528	2752
357	1534	2751
358	1538	2746
359	1541	2741
360	1545	2735
361	1548	2729
362	1551	2723
363	1555	2717
364	1559	2712
365	1562	2706
366	1565	2701
367	1569	2695
368	1573	2690
369	1576	2683
370	1579	2677
371	1582	2671
372	1586	2666
373	1589	2661
374	1593	2655
375	1597	2650
376	1600	2645
377	1604	2640
378	1608	2634
379	1611	2629
380	1614	2623
381	1618	2618
382	1621	2612
383	1624	2605
384	1627	2599
385	1630	2594
386	1634	2589
387	1638	2584
388	1641	2578
389	1644	2572
390	1647	2566
391	1651	2562
392	1654	2556
393	1658	2550
394	1661	2544
395	1664	2538
396	1667	2533
397	1671	2528
398	1675	2524
399	1679	2519
400	1683	2514
401	1687	2509
402	1732	2567
403	1736	2561
404	1739	2555
405	1743	2550
406	1750	2550
407	1761	2555
408	1764	2550
409	1767	2544
410	1772	2539
411	1775	2533
412	1778	2527
413	1781	2521
414	1784	2515
415	1788	2510
416	1791	2505
417	1795	2499
418	1798	2493
419	1801	2488
420	1805	2483
421	1809	2478
422	1812	2472
423	1816	2467
424	1820	2463
425	1824	2458
426	1828	2453
427	1831	2447
428	1834	2442
429	1837	2436
430	1841	2430
431	1844	2424
432	1847	2419
433	1853	2417
434	1858	2414
435	1862	2409
436	1868	2407
437	1873	2403
438	1881	2403
439	1888	2403
440	1897	2405
441	1906	2406
442	1915	2408
443	1925	2410
444	1930	2408
445	1945	2416
446	1953	2416
447	1957	2411
448	1961	2406
449	1964	2401
450	1967	2395
451	1970	2389
452	1974	2383
453	1978	2379
454	1981	2373
455	1984	2367
456	1989	2363
457	1995	2361
458	2000	2357
459	2004	2352
460	2007	2347
461	2011	2342
462	2014	2336
463	2018	2331
464	2021	2325
465	2025	2321
466	2028	2315
467	2032	2310
468	2036	2305
469	2039	2300
470	2043	2294
471	2046	2288
472	2049	2283
473	2052	2277
474	2056	2272
475	2059	2266
476	2062	2261
477	2065	2256
478	2068	2250
479	2073	2245
480	2076	2240
481	2079	2234
482	2083	2230
483	2087	2226
484	2091	2220
485	2128	2250
486	2132	2246
487	2136	2241
488	2149	2246
489	2160	2248
490	2163	2242
491	2166	2237
492	2170	2232
493	2174	2227
494	2177	2221
495	2180	2215
496	2183	2209
497	2187	2204
498	2190	2198
499	2193	2193
500	2196	2187
501	2200	2182
502	2203	2177
503	2206	2171
504	2210	2166
505	2213	2160
506	2216	2155
507	2220	2150
508	2223	2145
509	2227	2139
510	2230	2134
511	2234	2129
512	2237	2124
513	2240	2118
514	2243	2112
515	2245	2106
516	2250	2102
517	2254	2097
518	2258	2093
519	2262	2088
