iter	Passed	Remaining
0	3	3111
1	5	2958
2	9	3033
3	12	3192
4	15	3101
5	18	3016
6	20	2961
7	23	2935
8	27	2999
9	30	3049
10	33	3051
11	37	3080
12	40	3087
13	44	3136
14	47	3112
15	50	3101
16	53	3080
17	56	3108
18	60	3101
19	63	3094
20	66	3077
21	69	3070
22	72	3094
23	75	3079
24	78	3062
25	81	3042
26	84	3046
27	88	3066
28	91	3054
29	94	3045
30	97	3035
31	100	3047
32	103	3046
33	106	3031
34	109	3018
35	112	3017
36	116	3038
37	120	3054
38	123	3053
39	127	3053
40	131	3069
41	134	3065
42	137	3061
43	140	3057
44	144	3065
45	148	3069
46	151	3066
47	154	3061
48	157	3060
49	161	3061
50	164	3057
51	167	3046
52	170	3043
53	174	3054
54	177	3054
55	180	3044
56	183	3033
57	186	3022
58	189	3025
59	192	3021
60	195	3010
61	198	3002
62	201	2991
63	204	2993
64	208	2992
65	210	2983
66	213	2975
67	216	2968
68	220	2968
69	223	2964
70	225	2956
71	228	2950
72	232	2947
73	235	2947
74	238	2940
75	241	2933
76	244	2927
77	247	2925
78	250	2924
79	253	2920
80	256	2911
81	259	2903
82	262	2900
83	265	2897
84	268	2892
85	271	2884
86	274	2875
87	278	2881
88	281	2882
89	284	2877
90	287	2873
91	290	2868
92	293	2866
93	297	2863
94	299	2856
95	302	2852
96	305	2846
97	309	2845
98	312	2839
99	314	2832
100	317	2827
101	320	2821
102	323	2819
103	326	2815
104	329	2808
105	332	2805
106	335	2800
107	339	2799
108	341	2795
109	344	2791
110	347	2787
111	351	2786
112	354	2786
113	358	2787
114	361	2781
115	364	2775
116	367	2776
117	371	2776
118	374	2769
119	376	2763
120	379	2758
121	383	2759
122	387	2759
123	389	2754
124	392	2750
125	396	2746
126	399	2746
127	402	2741
128	405	2735
129	408	2730
130	411	2729
131	414	2728
132	417	2723
133	420	2718
134	423	2716
135	427	2717
136	430	2713
137	433	2708
138	436	2702
139	439	2698
140	443	2699
141	446	2695
142	449	2691
143	451	2686
144	454	2681
145	458	2680
146	461	2676
147	464	2672
148	466	2666
149	469	2662
150	473	2660
151	476	2656
152	479	2652
153	482	2647
154	485	2644
155	488	2643
156	491	2639
157	494	2635
158	497	2630
159	500	2627
160	503	2623
161	506	2620
162	509	2616
163	512	2612
164	515	2607
165	518	2605
166	521	2601
167	524	2598
168	527	2594
169	530	2591
170	534	2589
171	537	2585
172	540	2582
173	543	2578
174	546	2576
175	549	2573
176	552	2569
177	555	2566
178	558	2561
179	561	2560
180	564	2556
181	567	2552
182	570	2548
183	573	2544
184	577	2542
185	580	2539
186	583	2535
187	586	2531
188	589	2527
189	592	2525
190	595	2521
191	598	2516
192	600	2512
193	603	2508
194	607	2506
195	610	2503
196	613	2500
197	616	2496
198	619	2492
199	623	2492
200	626	2489
201	629	2486
202	632	2482
203	636	2482
204	639	2481
205	642	2477
206	645	2474
207	649	2472
208	653	2471
209	656	2469
210	659	2466
211	663	2464
212	667	2465
213	670	2464
214	675	2465
215	678	2463
216	683	2465
217	687	2464
218	690	2461
219	693	2459
220	697	2459
221	701	2456
222	704	2454
223	708	2453
224	712	2453
225	715	2450
226	718	2447
227	721	2443
228	725	2441
229	729	2440
230	732	2437
231	735	2434
232	738	2431
233	742	2431
234	746	2428
235	749	2424
236	752	2422
237	756	2422
238	760	2421
239	765	2423
240	769	2421
241	773	2422
242	778	2425
243	781	2420
244	783	2415
245	787	2413
246	791	2411
247	794	2408
248	797	2403
249	800	2400
250	803	2397
251	806	2393
252	809	2389
253	811	2384
254	815	2381
255	818	2380
256	821	2375
257	824	2370
258	827	2366
259	830	2363
260	833	2360
261	836	2356
262	839	2352
263	842	2348
264	846	2346
265	849	2343
266	852	2339
267	854	2334
268	857	2330
269	860	2327
270	864	2324
271	867	2320
272	869	2316
273	872	2312
274	876	2309
275	879	2306
276	882	2302
277	884	2297
278	887	2293
279	890	2289
280	893	2286
281	896	2282
282	898	2277
283	901	2273
284	904	2269
285	907	2266
286	910	2262
287	913	2258
288	916	2254
289	919	2250
290	922	2246
291	925	2243
292	927	2238
293	930	2235
294	933	2230
295	936	2227
296	939	2224
297	942	2221
298	946	2217
299	948	2214
300	952	2212
301	955	2209
302	959	2206
303	961	2202
304	964	2198
305	967	2195
306	970	2191
307	973	2188
308	976	2184
309	979	2180
310	983	2177
311	985	2174
312	988	2169
313	991	2165
314	993	2161
315	996	2157
316	999	2154
317	1002	2150
318	1005	2146
319	1007	2141
320	1010	2138
321	1014	2137
322	1018	2133
323	1021	2130
324	1023	2126
325	1027	2123
326	1030	2121
327	1033	2117
328	1036	2113
329	1039	2109
330	1042	2107
331	1076	2165
332	1079	2162
333	1083	2159
334	1088	2160
335	1093	2160
336	1098	2160
337	1103	2161
338	1106	2158
339	1109	2154
340	1112	2150
341	1115	2147
342	1118	2143
343	1121	2138
344	1124	2135
345	1127	2130
346	1130	2126
347	1133	2123
348	1136	2119
349	1139	2115
350	1141	2111
351	1144	2107
352	1148	2105
353	1151	2101
354	1154	2097
355	1156	2092
356	1159	2088
357	1163	2085
358	1165	2081
359	1168	2077
360	1171	2073
361	1174	2070
362	1178	2067
363	1180	2063
364	1183	2059
365	1186	2054
366	1189	2051
367	1192	2048
368	1195	2043
369	1197	2039
370	1200	2035
371	1203	2031
372	1206	2027
373	1209	2024
374	1212	2020
375	1215	2016
376	1217	2012
377	1220	2008
378	1224	2005
379	1226	2001
380	1229	1997
381	1232	1993
382	1235	1989
383	1238	1986
384	1241	1982
385	1244	1979
386	1247	1975
387	1249	1971
388	1253	1968
389	1256	1965
390	1259	1961
391	1262	1958
392	1265	1954
393	1269	1952
394	1273	1949
395	1276	1946
396	1278	1942
397	1283	1940
398	1286	1937
399	1289	1933
400	1292	1930
401	1295	1926
402	1299	1925
403	1302	1921
404	1305	1917
405	1308	1913
406	1311	1910
407	1314	1907
408	1317	1903
409	1320	1899
410	1323	1896
411	1326	1892
412	1330	1890
413	1333	1886
414	1335	1883
415	1338	1879
416	1342	1876
417	1345	1873
418	1348	1870
419	1351	1866
420	1354	1863
421	1358	1860
422	1361	1857
423	1365	1855
424	1369	1853
425	1376	1854
426	1379	1850
427	1382	1847
428	1385	1843
429	1391	1844
430	1394	1840
431	1397	1837
432	1400	1833
433	1405	1832
434	1408	1829
435	1411	1825
436	1413	1821
437	1418	1819
438	1422	1818
439	1425	1814
440	1428	1810
441	1431	1807
442	1437	1807
443	1440	1803
444	1443	1800
445	1446	1796
446	1452	1797
447	1455	1793
448	1458	1789
449	1461	1785
450	1465	1784
451	1468	1780
452	1472	1777
453	1475	1774
454	1478	1771
455	1482	1768
456	1484	1764
457	1487	1760
458	1490	1756
459	1495	1755
460	1498	1751
461	1501	1748
462	1504	1744
463	1508	1743
464	1511	1739
465	1514	1735
466	1517	1731
467	1520	1727
468	1524	1726
469	1528	1723
470	1531	1720
471	1534	1716
472	1538	1714
473	1542	1711
474	1545	1708
475	1548	1704
476	1552	1701
477	1556	1699
478	1559	1695
479	1562	1692
480	1565	1688
481	1569	1686
482	1572	1683
483	1575	1679
484	1579	1676
485	1582	1673
486	1586	1671
487	1589	1667
488	1592	1664
489	1595	1660
490	1599	1658
491	1602	1654
492	1605	1651
493	1609	1649
494	1615	1648
495	1618	1644
496	1621	1640
497	1624	1637
498	1627	1633
499	1631	1631
500	1634	1628
501	1637	1624
502	1640	1620
503	1644	1618
504	1647	1615
505	1650	1611
506	1653	1607
507	1655	1603
508	1661	1602
509	1664	1599
510	1667	1595
511	1670	1592
512	1676	1591
513	1679	1587
514	1682	1584
515	1685	1580
516	1689	1578
517	1693	1576
518	1696	1572
519	1700	1569
520	1705	1568
521	1709	1565
522	1712	1561
523	1715	1558
524	1721	1557
525	1724	1553
526	1727	1550
527	1730	1547
528	1737	1546
529	1740	1543
530	1745	1541
531	1750	1539
532	1754	1537
533	1758	1534
534	1762	1531
535	1766	1529
536	1770	1526
537	1774	1524
538	1780	1522
539	1783	1519
540	1786	1516
541	1790	1513
542	1794	1510
543	1797	1506
544	1800	1503
545	1803	1499
546	1806	1495
547	1809	1492
548	1812	1489
549	1815	1485
550	1818	1481
551	1820	1477
552	1824	1475
553	1827	1471
